season,drugname,drugcost,alternatedrug,alternatedrugcost,no_of_customer_using_drug,no_of_customer_using_alternate_drug,Year,Month,YearMonth
Monsoon,Levothyroxine,131,Liothyronine,159,320,711,2023,5,2023-05
Spring,Cetirizine,148,Loratadine,179,882,65,2022,12,2022-12
Monsoon,Atorvastatin,343,Rosuvastatin,309,447,291,2017,12,2017-12
Monsoon,Salbutamol,415,Terbutaline,403,104,368,2013,1,2013-01
Monsoon,Losartan,491,Telmisartan,460,483,709,2023,4,2023-04
Spring,Amoxicillin,383,Azithromycin,354,996,532,2023,1,2023-01
Monsoon,Omeprazole,236,Pantoprazole,217,964,515,2010,6,2010-06
Autumn,Losartan,446,Telmisartan,478,945,798,2021,2,2021-02
Monsoon,Atorvastatin,195,Rosuvastatin,175,562,259,2023,9,2023-09
Winter,Salbutamol,226,Terbutaline,195,459,107,2017,10,2017-10
Spring,Omeprazole,388,Pantoprazole,350,878,498,2020,8,2020-08
Winter,Metformin,358,Glimepiride,318,264,196,2023,5,2023-05
Summer,Losartan,353,Telmisartan,390,326,679,2016,8,2016-08
Autumn,Cetirizine,282,Loratadine,242,939,510,2017,1,2017-01
Autumn,Salbutamol,461,Terbutaline,428,442,490,2015,8,2015-08
Autumn,Metformin,410,Glimepiride,457,333,346,2013,10,2013-10
Winter,Atorvastatin,493,Rosuvastatin,529,582,472,2013,10,2013-10
Summer,Amoxicillin,372,Azithromycin,377,262,481,2012,10,2012-10
Winter,Omeprazole,224,Pantoprazole,265,730,79,2023,12,2023-12
Spring,Losartan,387,Telmisartan,363,823,218,2012,1,2012-01
Spring,Cetirizine,357,Loratadine,338,358,672,2011,6,2011-06
Monsoon,Levothyroxine,383,Liothyronine,426,587,563,2012,11,2012-11
Summer,Levothyroxine,355,Liothyronine,363,259,211,2014,4,2014-04
Monsoon,Amoxicillin,399,Azithromycin,444,251,659,2021,4,2021-04
Autumn,Paracetamol,388,Ibuprofen,394,149,756,2011,7,2011-07
Winter,Salbutamol,397,Terbutaline,404,609,492,2019,11,2019-11
Winter,Losartan,455,Telmisartan,414,275,307,2010,6,2010-06
Autumn,Cetirizine,458,Loratadine,448,687,529,2010,12,2010-12
Winter,Omeprazole,483,Pantoprazole,532,527,264,2018,9,2018-09
Summer,Omeprazole,356,Pantoprazole,392,107,100,2013,3,2013-03
Autumn,Metformin,112,Glimepiride,126,136,290,2014,1,2014-01
Monsoon,Paracetamol,346,Ibuprofen,324,724,614,2016,2,2016-02
Summer,Paracetamol,122,Ibuprofen,106,678,59,2010,9,2010-09
Winter,Levothyroxine,79,Liothyronine,38,222,279,2016,10,2016-10
Autumn,Amoxicillin,168,Azithromycin,192,961,613,2022,9,2022-09
Monsoon,Omeprazole,237,Pantoprazole,205,516,774,2016,9,2016-09
Summer,Atorvastatin,281,Rosuvastatin,291,987,566,2018,10,2018-10
Winter,Losartan,83,Telmisartan,111,244,295,2015,2,2015-02
Monsoon,Atorvastatin,265,Rosuvastatin,274,469,307,2016,2,2016-02
Winter,Omeprazole,51,Pantoprazole,74,943,727,2022,3,2022-03
Summer,Metformin,289,Glimepiride,301,629,724,2011,12,2011-12
Summer,Insulin,302,Glipizide,290,963,432,2010,9,2010-09
Summer,Cetirizine,66,Loratadine,58,387,189,2012,6,2012-06
Summer,Atorvastatin,327,Rosuvastatin,287,410,231,2018,11,2018-11
Summer,Levothyroxine,478,Liothyronine,432,389,381,2018,6,2018-06
Summer,Cetirizine,327,Loratadine,345,711,61,2021,11,2021-11
Monsoon,Insulin,455,Glipizide,478,326,464,2020,5,2020-05
Monsoon,Paracetamol,204,Ibuprofen,164,975,55,2012,2,2012-02
Autumn,Insulin,403,Glipizide,441,979,336,2015,3,2015-03
Winter,Levothyroxine,311,Liothyronine,276,382,481,2010,12,2010-12
Summer,Losartan,208,Telmisartan,183,512,763,2023,3,2023-03
Summer,Omeprazole,463,Pantoprazole,450,478,628,2019,11,2019-11
Monsoon,Cetirizine,230,Loratadine,211,1000,750,2018,2,2018-02
Winter,Metformin,284,Glimepiride,272,663,779,2024,3,2024-03
Spring,Amoxicillin,284,Azithromycin,265,829,377,2013,11,2013-11
Spring,Atorvastatin,70,Rosuvastatin,101,861,389,2017,4,2017-04
Summer,Losartan,411,Telmisartan,446,583,299,2011,7,2011-07
Autumn,Levothyroxine,108,Liothyronine,75,926,65,2023,4,2023-04
Monsoon,Salbutamol,494,Terbutaline,451,843,548,2016,8,2016-08
Spring,Losartan,115,Telmisartan,159,221,134,2012,12,2012-12
Autumn,Cetirizine,292,Loratadine,332,843,398,2018,5,2018-05
Winter,Metformin,274,Glimepiride,269,351,535,2013,10,2013-10
Winter,Losartan,250,Telmisartan,298,584,406,2014,10,2014-10
Spring,Amoxicillin,432,Azithromycin,481,265,152,2021,8,2021-08
Winter,Omeprazole,331,Pantoprazole,326,820,623,2017,6,2017-06
Spring,Omeprazole,440,Pantoprazole,478,100,663,2015,1,2015-01
Summer,Amoxicillin,108,Azithromycin,69,272,342,2024,8,2024-08
Spring,Atorvastatin,391,Rosuvastatin,411,572,202,2012,8,2012-08
Spring,Insulin,227,Glipizide,244,996,792,2021,9,2021-09
Winter,Omeprazole,410,Pantoprazole,380,700,153,2011,5,2011-05
Summer,Omeprazole,421,Pantoprazole,407,428,704,2019,8,2019-08
Monsoon,Omeprazole,145,Pantoprazole,164,404,248,2020,12,2020-12
Summer,Levothyroxine,173,Liothyronine,155,484,613,2018,5,2018-05
Spring,Metformin,201,Glimepiride,209,693,605,2011,1,2011-01
Autumn,Atorvastatin,367,Rosuvastatin,349,150,239,2012,11,2012-11
Summer,Cetirizine,75,Loratadine,107,714,316,2022,9,2022-09
Autumn,Salbutamol,486,Terbutaline,536,448,595,2013,3,2013-03
Summer,Insulin,358,Glipizide,343,806,504,2015,4,2015-04
Monsoon,Paracetamol,368,Ibuprofen,407,912,173,2019,11,2019-11
Spring,Atorvastatin,359,Rosuvastatin,407,250,310,2022,6,2022-06
Monsoon,Cetirizine,121,Loratadine,143,604,199,2022,2,2022-02
Monsoon,Losartan,105,Telmisartan,148,183,337,2015,10,2015-10
Monsoon,Omeprazole,133,Pantoprazole,140,607,274,2024,12,2024-12
Monsoon,Cetirizine,290,Loratadine,336,563,357,2023,10,2023-10
Summer,Omeprazole,283,Pantoprazole,245,594,406,2023,5,2023-05
Summer,Cetirizine,116,Loratadine,100,212,726,2017,2,2017-02
Monsoon,Insulin,244,Glipizide,250,700,754,2024,10,2024-10
Spring,Omeprazole,178,Pantoprazole,226,965,331,2023,8,2023-08
Monsoon,Losartan,397,Telmisartan,374,562,685,2011,12,2011-12
Monsoon,Salbutamol,109,Terbutaline,73,141,502,2017,7,2017-07
Spring,Amoxicillin,292,Azithromycin,318,952,105,2015,7,2015-07
Monsoon,Amoxicillin,210,Azithromycin,257,361,433,2023,9,2023-09
Winter,Losartan,415,Telmisartan,450,154,466,2013,8,2013-08
Winter,Losartan,275,Telmisartan,256,855,269,2018,3,2018-03
Autumn,Paracetamol,59,Ibuprofen,80,465,743,2018,7,2018-07
Summer,Levothyroxine,459,Liothyronine,503,704,477,2022,6,2022-06
Spring,Metformin,191,Glimepiride,150,102,717,2011,6,2011-06
Summer,Salbutamol,152,Terbutaline,123,497,86,2020,12,2020-12
Winter,Cetirizine,210,Loratadine,225,307,403,2013,10,2013-10
Spring,Losartan,305,Telmisartan,263,376,219,2013,1,2013-01
Monsoon,Cetirizine,78,Loratadine,113,283,103,2017,1,2017-01
Monsoon,Atorvastatin,256,Rosuvastatin,297,180,696,2015,1,2015-01
Winter,Losartan,459,Telmisartan,487,800,768,2024,3,2024-03
Winter,Amoxicillin,173,Azithromycin,207,291,323,2024,4,2024-04
Spring,Salbutamol,338,Terbutaline,381,512,143,2020,4,2020-04
Spring,Cetirizine,64,Loratadine,53,237,423,2012,8,2012-08
Monsoon,Amoxicillin,98,Azithromycin,129,326,297,2023,12,2023-12
Spring,Metformin,374,Glimepiride,326,645,639,2023,7,2023-07
Monsoon,Metformin,192,Glimepiride,178,471,536,2023,6,2023-06
Summer,Amoxicillin,400,Azithromycin,375,291,595,2018,2,2018-02
Monsoon,Paracetamol,410,Ibuprofen,432,870,770,2017,6,2017-06
Winter,Omeprazole,136,Pantoprazole,177,817,156,2016,12,2016-12
Winter,Cetirizine,136,Loratadine,106,834,685,2017,3,2017-03
Winter,Atorvastatin,120,Rosuvastatin,143,904,564,2022,2,2022-02
Winter,Losartan,325,Telmisartan,303,185,367,2016,10,2016-10
Spring,Levothyroxine,427,Liothyronine,475,968,374,2012,7,2012-07
Winter,Insulin,318,Glipizide,349,213,344,2023,12,2023-12
Summer,Paracetamol,255,Ibuprofen,295,299,421,2022,9,2022-09
Summer,Omeprazole,69,Pantoprazole,114,931,153,2013,6,2013-06
Monsoon,Metformin,123,Glimepiride,141,381,500,2013,4,2013-04
Autumn,Insulin,428,Glipizide,477,702,607,2019,5,2019-05
Monsoon,Salbutamol,332,Terbutaline,377,109,769,2018,8,2018-08
Winter,Amoxicillin,117,Azithromycin,166,882,417,2019,2,2019-02
Spring,Insulin,466,Glipizide,502,389,184,2021,4,2021-04
Spring,Paracetamol,158,Ibuprofen,110,533,326,2011,2,2011-02
Summer,Cetirizine,477,Loratadine,514,942,329,2017,11,2017-11
Monsoon,Metformin,100,Glimepiride,146,956,447,2012,4,2012-04
Monsoon,Amoxicillin,171,Azithromycin,146,437,648,2016,8,2016-08
Spring,Cetirizine,382,Loratadine,404,195,720,2014,4,2014-04
Summer,Paracetamol,162,Ibuprofen,143,164,320,2012,11,2012-11
Spring,Salbutamol,479,Terbutaline,460,947,318,2018,9,2018-09
Summer,Paracetamol,149,Ibuprofen,163,801,535,2023,2,2023-02
Autumn,Salbutamol,261,Terbutaline,308,837,632,2012,7,2012-07
Spring,Losartan,365,Telmisartan,380,193,634,2010,4,2010-04
Summer,Amoxicillin,80,Azithromycin,124,493,557,2013,12,2013-12
Monsoon,Atorvastatin,131,Rosuvastatin,162,874,784,2023,4,2023-04
Monsoon,Levothyroxine,73,Liothyronine,119,233,64,2016,11,2016-11
Autumn,Levothyroxine,95,Liothyronine,140,859,729,2018,12,2018-12
Winter,Cetirizine,442,Loratadine,402,988,139,2012,12,2012-12
Autumn,Omeprazole,191,Pantoprazole,228,788,125,2015,9,2015-09
Monsoon,Omeprazole,481,Pantoprazole,439,960,572,2024,2,2024-02
Autumn,Omeprazole,274,Pantoprazole,241,711,92,2024,9,2024-09
Winter,Omeprazole,211,Pantoprazole,226,544,112,2015,3,2015-03
Spring,Omeprazole,376,Pantoprazole,419,394,53,2022,5,2022-05
Autumn,Omeprazole,433,Pantoprazole,402,295,265,2012,3,2012-03
Winter,Insulin,146,Glipizide,173,117,730,2010,1,2010-01
Spring,Omeprazole,347,Pantoprazole,304,531,453,2010,2,2010-02
Winter,Levothyroxine,495,Liothyronine,543,346,559,2020,6,2020-06
Spring,Metformin,116,Glimepiride,84,807,164,2011,2,2011-02
Summer,Omeprazole,110,Pantoprazole,146,1000,553,2013,4,2013-04
Monsoon,Losartan,245,Telmisartan,280,227,409,2010,4,2010-04
Spring,Amoxicillin,495,Azithromycin,523,260,795,2019,8,2019-08
Spring,Amoxicillin,339,Azithromycin,358,399,83,2024,1,2024-01
Autumn,Paracetamol,463,Ibuprofen,495,216,682,2024,7,2024-07
Spring,Insulin,336,Glipizide,366,767,635,2014,1,2014-01
Monsoon,Losartan,109,Telmisartan,129,838,505,2016,4,2016-04
Summer,Atorvastatin,58,Rosuvastatin,31,653,785,2024,5,2024-05
Spring,Salbutamol,73,Terbutaline,123,404,371,2011,5,2011-05
Autumn,Cetirizine,295,Loratadine,343,793,595,2015,4,2015-04
Winter,Cetirizine,262,Loratadine,281,816,220,2010,6,2010-06
Summer,Salbutamol,109,Terbutaline,116,411,554,2014,12,2014-12
Winter,Cetirizine,84,Loratadine,130,475,420,2020,11,2020-11
Summer,Cetirizine,71,Loratadine,51,625,668,2014,1,2014-01
Winter,Omeprazole,378,Pantoprazole,344,826,553,2021,9,2021-09
Winter,Metformin,183,Glimepiride,152,275,636,2011,6,2011-06
Monsoon,Levothyroxine,200,Liothyronine,229,119,58,2011,8,2011-08
Winter,Omeprazole,446,Pantoprazole,485,985,123,2013,5,2013-05
Spring,Amoxicillin,223,Azithromycin,263,335,652,2018,7,2018-07
Autumn,Salbutamol,314,Terbutaline,306,294,348,2020,2,2020-02
Spring,Insulin,60,Glipizide,28,974,135,2023,4,2023-04
Summer,Paracetamol,214,Ibuprofen,243,433,621,2019,7,2019-07
Winter,Paracetamol,259,Ibuprofen,237,524,229,2011,6,2011-06
Summer,Paracetamol,121,Ibuprofen,147,875,729,2021,3,2021-03
Winter,Omeprazole,255,Pantoprazole,273,680,785,2011,9,2011-09
Monsoon,Cetirizine,441,Loratadine,421,500,213,2023,6,2023-06
Summer,Losartan,335,Telmisartan,364,462,159,2011,5,2011-05
Autumn,Paracetamol,494,Ibuprofen,468,821,112,2023,5,2023-05
Monsoon,Levothyroxine,494,Liothyronine,471,265,205,2012,6,2012-06
Autumn,Cetirizine,97,Loratadine,48,579,149,2024,3,2024-03
Winter,Metformin,135,Glimepiride,146,165,534,2023,2,2023-02
Monsoon,Metformin,282,Glimepiride,243,550,170,2015,7,2015-07
Monsoon,Paracetamol,171,Ibuprofen,213,110,282,2021,8,2021-08
Summer,Insulin,482,Glipizide,511,973,544,2017,6,2017-06
Winter,Levothyroxine,500,Liothyronine,508,627,740,2019,4,2019-04
Spring,Amoxicillin,145,Azithromycin,185,668,574,2011,9,2011-09
Winter,Atorvastatin,172,Rosuvastatin,190,313,413,2014,6,2014-06
Spring,Salbutamol,436,Terbutaline,427,163,676,2013,8,2013-08
Autumn,Insulin,467,Glipizide,493,590,208,2017,6,2017-06
Autumn,Losartan,158,Telmisartan,170,145,169,2016,5,2016-05
Monsoon,Levothyroxine,289,Liothyronine,249,981,61,2015,2,2015-02
Monsoon,Omeprazole,280,Pantoprazole,305,863,774,2015,11,2015-11
Winter,Omeprazole,364,Pantoprazole,342,754,108,2013,2,2013-02
Monsoon,Amoxicillin,456,Azithromycin,477,410,680,2011,4,2011-04
Monsoon,Paracetamol,244,Ibuprofen,280,877,138,2023,9,2023-09
Monsoon,Insulin,387,Glipizide,376,851,444,2020,6,2020-06
Summer,Losartan,111,Telmisartan,68,762,596,2015,11,2015-11
Winter,Omeprazole,375,Pantoprazole,356,453,693,2024,9,2024-09
Winter,Levothyroxine,378,Liothyronine,416,327,334,2021,2,2021-02
Monsoon,Amoxicillin,180,Azithromycin,163,223,452,2024,8,2024-08
Winter,Amoxicillin,331,Azithromycin,371,696,406,2018,8,2018-08
Summer,Paracetamol,378,Ibuprofen,406,667,155,2011,7,2011-07
Autumn,Salbutamol,129,Terbutaline,161,477,201,2012,2,2012-02
Monsoon,Insulin,169,Glipizide,161,243,565,2019,6,2019-06
Winter,Paracetamol,335,Ibuprofen,290,334,141,2018,2,2018-02
Summer,Losartan,73,Telmisartan,98,584,732,2011,7,2011-07
Summer,Amoxicillin,363,Azithromycin,413,242,254,2013,6,2013-06
Spring,Atorvastatin,321,Rosuvastatin,300,283,98,2011,6,2011-06
Monsoon,Amoxicillin,249,Azithromycin,231,233,260,2021,5,2021-05
Monsoon,Metformin,365,Glimepiride,348,491,433,2010,11,2010-11
Autumn,Amoxicillin,194,Azithromycin,161,490,454,2012,9,2012-09
Winter,Amoxicillin,475,Azithromycin,507,198,431,2023,2,2023-02
Autumn,Paracetamol,245,Ibuprofen,218,591,607,2011,7,2011-07
Autumn,Amoxicillin,353,Azithromycin,362,680,593,2018,6,2018-06
Monsoon,Cetirizine,399,Loratadine,370,694,718,2011,3,2011-03
Winter,Metformin,231,Glimepiride,255,530,389,2014,9,2014-09
Spring,Omeprazole,440,Pantoprazole,410,891,384,2012,7,2012-07
Winter,Losartan,161,Telmisartan,145,824,606,2011,8,2011-08
Monsoon,Amoxicillin,386,Azithromycin,407,656,260,2013,10,2013-10
Monsoon,Losartan,122,Telmisartan,141,731,308,2014,5,2014-05
Spring,Paracetamol,235,Ibuprofen,194,204,744,2023,4,2023-04
Spring,Omeprazole,114,Pantoprazole,92,850,170,2015,4,2015-04
Spring,Omeprazole,282,Pantoprazole,273,335,437,2019,1,2019-01
Monsoon,Levothyroxine,61,Liothyronine,74,229,338,2022,11,2022-11
Monsoon,Omeprazole,449,Pantoprazole,443,269,418,2017,11,2017-11
Monsoon,Levothyroxine,367,Liothyronine,331,247,561,2022,8,2022-08
Monsoon,Insulin,404,Glipizide,418,755,327,2017,2,2017-02
Summer,Metformin,241,Glimepiride,215,250,96,2012,3,2012-03
Winter,Levothyroxine,362,Liothyronine,351,943,625,2021,4,2021-04
Winter,Amoxicillin,455,Azithromycin,469,452,562,2013,10,2013-10
Autumn,Atorvastatin,443,Rosuvastatin,435,608,644,2023,7,2023-07
Winter,Atorvastatin,89,Rosuvastatin,51,199,153,2020,6,2020-06
Monsoon,Metformin,462,Glimepiride,501,184,268,2021,1,2021-01
Autumn,Cetirizine,262,Loratadine,226,730,467,2020,5,2020-05
Summer,Salbutamol,253,Terbutaline,243,937,77,2020,8,2020-08
Monsoon,Atorvastatin,123,Rosuvastatin,154,827,604,2011,3,2011-03
Winter,Atorvastatin,79,Rosuvastatin,44,642,416,2017,8,2017-08
Winter,Atorvastatin,447,Rosuvastatin,476,440,111,2020,10,2020-10
Autumn,Salbutamol,488,Terbutaline,502,919,203,2015,4,2015-04
Spring,Omeprazole,198,Pantoprazole,230,140,779,2015,10,2015-10
Monsoon,Omeprazole,97,Pantoprazole,80,152,324,2015,10,2015-10
Winter,Salbutamol,484,Terbutaline,460,206,260,2012,8,2012-08
Summer,Insulin,188,Glipizide,207,223,788,2010,2,2010-02
Winter,Levothyroxine,50,Liothyronine,33,908,224,2019,8,2019-08
Autumn,Omeprazole,407,Pantoprazole,453,244,631,2015,8,2015-08
Summer,Paracetamol,339,Ibuprofen,331,720,558,2018,3,2018-03
Spring,Insulin,234,Glipizide,229,700,367,2024,2,2024-02
Summer,Atorvastatin,470,Rosuvastatin,438,698,796,2019,8,2019-08
Spring,Metformin,414,Glimepiride,431,994,796,2010,1,2010-01
Autumn,Levothyroxine,294,Liothyronine,245,344,224,2021,11,2021-11
Monsoon,Paracetamol,282,Ibuprofen,240,660,347,2013,6,2013-06
Winter,Losartan,199,Telmisartan,229,642,538,2016,12,2016-12
Winter,Salbutamol,119,Terbutaline,153,641,551,2023,6,2023-06
Winter,Paracetamol,105,Ibuprofen,121,265,738,2021,5,2021-05
Summer,Salbutamol,429,Terbutaline,392,926,203,2014,2,2014-02
Monsoon,Metformin,476,Glimepiride,457,351,281,2010,4,2010-04
Autumn,Salbutamol,473,Terbutaline,498,188,460,2011,3,2011-03
Autumn,Salbutamol,423,Terbutaline,440,354,665,2015,5,2015-05
Spring,Omeprazole,132,Pantoprazole,83,647,248,2018,3,2018-03
Winter,Metformin,386,Glimepiride,400,898,371,2023,2,2023-02
Summer,Paracetamol,406,Ibuprofen,412,424,436,2018,6,2018-06
Winter,Atorvastatin,265,Rosuvastatin,295,798,579,2014,7,2014-07
Spring,Metformin,362,Glimepiride,348,680,692,2024,11,2024-11
Winter,Atorvastatin,175,Rosuvastatin,220,449,140,2015,10,2015-10
Winter,Amoxicillin,392,Azithromycin,418,731,795,2017,8,2017-08
Monsoon,Cetirizine,289,Loratadine,261,677,436,2014,7,2014-07
Spring,Paracetamol,51,Ibuprofen,85,486,210,2017,7,2017-07
Winter,Omeprazole,238,Pantoprazole,225,491,186,2018,5,2018-05
Autumn,Paracetamol,422,Ibuprofen,472,314,498,2019,1,2019-01
Autumn,Cetirizine,363,Loratadine,329,774,611,2017,8,2017-08
Autumn,Cetirizine,132,Loratadine,99,464,584,2020,12,2020-12
Spring,Atorvastatin,387,Rosuvastatin,353,158,427,2022,1,2022-01
Autumn,Losartan,157,Telmisartan,207,637,449,2019,2,2019-02
Spring,Atorvastatin,416,Rosuvastatin,428,682,741,2013,5,2013-05
Monsoon,Losartan,345,Telmisartan,352,681,544,2012,12,2012-12
Summer,Omeprazole,55,Pantoprazole,17,418,586,2015,6,2015-06
Autumn,Levothyroxine,150,Liothyronine,163,411,56,2013,2,2013-02
Monsoon,Insulin,261,Glipizide,288,948,605,2014,5,2014-05
Monsoon,Cetirizine,398,Loratadine,369,187,683,2024,8,2024-08
Winter,Omeprazole,288,Pantoprazole,242,993,493,2010,5,2010-05
Autumn,Salbutamol,348,Terbutaline,367,241,571,2017,11,2017-11
Winter,Omeprazole,302,Pantoprazole,325,567,664,2015,6,2015-06
Autumn,Salbutamol,343,Terbutaline,388,527,346,2021,10,2021-10
Spring,Losartan,188,Telmisartan,139,378,190,2023,12,2023-12
Spring,Cetirizine,415,Loratadine,392,888,600,2018,11,2018-11
Autumn,Cetirizine,405,Loratadine,399,485,646,2012,9,2012-09
Spring,Omeprazole,152,Pantoprazole,122,225,288,2018,6,2018-06
Summer,Amoxicillin,343,Azithromycin,314,504,403,2013,11,2013-11
Winter,Salbutamol,237,Terbutaline,244,474,425,2012,11,2012-11
Autumn,Metformin,68,Glimepiride,85,541,439,2021,2,2021-02
Autumn,Salbutamol,471,Terbutaline,443,210,741,2014,1,2014-01
Summer,Paracetamol,374,Ibuprofen,407,602,283,2016,6,2016-06
Spring,Atorvastatin,70,Rosuvastatin,103,672,351,2018,10,2018-10
Summer,Paracetamol,282,Ibuprofen,298,983,694,2022,1,2022-01
Spring,Omeprazole,72,Pantoprazole,58,449,306,2021,4,2021-04
Spring,Paracetamol,210,Ibuprofen,229,829,706,2015,2,2015-02
Winter,Levothyroxine,337,Liothyronine,381,326,713,2014,10,2014-10
Winter,Metformin,480,Glimepiride,446,220,713,2012,11,2012-11
Summer,Metformin,367,Glimepiride,334,949,280,2015,10,2015-10
Summer,Losartan,164,Telmisartan,181,911,192,2016,1,2016-01
Summer,Paracetamol,124,Ibuprofen,77,691,667,2020,10,2020-10
Winter,Amoxicillin,72,Azithromycin,60,916,576,2019,6,2019-06
Summer,Insulin,317,Glipizide,308,254,229,2020,7,2020-07
Winter,Amoxicillin,50,Azithromycin,62,632,149,2010,8,2010-08
Summer,Salbutamol,248,Terbutaline,208,348,635,2013,8,2013-08
Spring,Amoxicillin,341,Azithromycin,369,979,343,2012,1,2012-01
Summer,Metformin,359,Glimepiride,352,430,367,2013,9,2013-09
Summer,Amoxicillin,496,Azithromycin,473,176,597,2014,1,2014-01
Autumn,Paracetamol,180,Ibuprofen,133,268,282,2022,7,2022-07
Autumn,Omeprazole,58,Pantoprazole,22,891,746,2020,4,2020-04
Monsoon,Salbutamol,215,Terbutaline,231,564,654,2015,1,2015-01
Autumn,Metformin,435,Glimepiride,416,428,411,2014,10,2014-10
Spring,Losartan,172,Telmisartan,207,955,248,2020,2,2020-02
Autumn,Omeprazole,326,Pantoprazole,311,971,637,2022,8,2022-08
Monsoon,Omeprazole,418,Pantoprazole,466,590,540,2013,7,2013-07
Winter,Salbutamol,152,Terbutaline,127,689,134,2011,10,2011-10
Autumn,Insulin,460,Glipizide,427,285,675,2012,12,2012-12
Monsoon,Paracetamol,406,Ibuprofen,393,778,756,2017,9,2017-09
Summer,Losartan,307,Telmisartan,285,739,284,2013,2,2013-02
Winter,Losartan,390,Telmisartan,355,498,747,2023,9,2023-09
Winter,Cetirizine,407,Loratadine,429,259,270,2014,10,2014-10
Monsoon,Cetirizine,252,Loratadine,285,417,601,2012,5,2012-05
Spring,Atorvastatin,383,Rosuvastatin,389,985,748,2021,12,2021-12
Winter,Amoxicillin,95,Azithromycin,51,521,156,2021,9,2021-09
Autumn,Amoxicillin,243,Azithromycin,266,949,693,2022,1,2022-01
Autumn,Omeprazole,353,Pantoprazole,363,203,134,2014,12,2014-12
Monsoon,Losartan,465,Telmisartan,439,270,679,2020,2,2020-02
Monsoon,Omeprazole,58,Pantoprazole,70,647,56,2021,10,2021-10
Autumn,Levothyroxine,143,Liothyronine,130,543,564,2010,9,2010-09
Spring,Salbutamol,106,Terbutaline,65,612,555,2016,3,2016-03
Winter,Atorvastatin,383,Rosuvastatin,420,184,148,2023,5,2023-05
Summer,Losartan,54,Telmisartan,22,237,320,2010,3,2010-03
Spring,Losartan,258,Telmisartan,290,293,121,2016,9,2016-09
Monsoon,Insulin,343,Glipizide,336,508,693,2016,4,2016-04
Autumn,Omeprazole,301,Pantoprazole,332,504,432,2022,6,2022-06
Spring,Insulin,62,Glipizide,33,681,733,2018,2,2018-02
Summer,Losartan,239,Telmisartan,262,213,533,2018,4,2018-04
Spring,Atorvastatin,398,Rosuvastatin,349,507,341,2012,4,2012-04
Winter,Salbutamol,403,Terbutaline,410,403,486,2021,12,2021-12
Summer,Paracetamol,417,Ibuprofen,451,681,379,2021,2,2021-02
Winter,Salbutamol,291,Terbutaline,271,432,96,2024,8,2024-08
Spring,Amoxicillin,224,Azithromycin,180,221,145,2011,1,2011-01
Winter,Salbutamol,402,Terbutaline,431,746,647,2021,6,2021-06
Autumn,Amoxicillin,81,Azithromycin,44,307,636,2020,1,2020-01
Autumn,Levothyroxine,409,Liothyronine,401,475,276,2011,11,2011-11
Spring,Omeprazole,156,Pantoprazole,125,527,521,2023,5,2023-05
Winter,Amoxicillin,371,Azithromycin,324,381,247,2010,2,2010-02
Spring,Atorvastatin,377,Rosuvastatin,420,531,768,2011,8,2011-08
Winter,Cetirizine,151,Loratadine,190,689,243,2018,12,2018-12
Spring,Metformin,494,Glimepiride,453,586,327,2011,3,2011-03
Winter,Losartan,296,Telmisartan,325,812,178,2018,8,2018-08
Winter,Cetirizine,284,Loratadine,300,666,659,2024,5,2024-05
Summer,Metformin,312,Glimepiride,350,124,551,2016,4,2016-04
Winter,Amoxicillin,248,Azithromycin,201,972,725,2016,9,2016-09
Winter,Amoxicillin,87,Azithromycin,37,880,800,2024,8,2024-08
Autumn,Atorvastatin,171,Rosuvastatin,215,451,424,2018,3,2018-03
Summer,Levothyroxine,338,Liothyronine,355,956,554,2012,5,2012-05
Spring,Insulin,433,Glipizide,394,926,156,2023,4,2023-04
Autumn,Atorvastatin,149,Rosuvastatin,192,622,578,2020,1,2020-01
Summer,Atorvastatin,407,Rosuvastatin,359,281,50,2018,7,2018-07
Spring,Amoxicillin,62,Azithromycin,103,291,730,2011,2,2011-02
Monsoon,Cetirizine,494,Loratadine,520,531,696,2016,12,2016-12
Autumn,Atorvastatin,154,Rosuvastatin,108,854,329,2024,1,2024-01
Summer,Levothyroxine,240,Liothyronine,192,525,123,2012,2,2012-02
Spring,Metformin,238,Glimepiride,260,130,729,2020,9,2020-09
Spring,Omeprazole,378,Pantoprazole,412,796,579,2015,3,2015-03
Autumn,Paracetamol,314,Ibuprofen,361,475,508,2010,3,2010-03
Monsoon,Paracetamol,99,Ibuprofen,148,527,587,2020,8,2020-08
Winter,Insulin,360,Glipizide,345,758,766,2023,2,2023-02
Spring,Levothyroxine,231,Liothyronine,181,988,640,2023,6,2023-06
Spring,Cetirizine,168,Loratadine,182,823,269,2017,9,2017-09
Summer,Levothyroxine,113,Liothyronine,137,105,490,2011,7,2011-07
Monsoon,Insulin,485,Glipizide,491,735,322,2014,11,2014-11
Summer,Insulin,159,Glipizide,118,690,534,2021,2,2021-02
Spring,Losartan,400,Telmisartan,357,559,222,2013,11,2013-11
Summer,Omeprazole,73,Pantoprazole,113,779,675,2015,2,2015-02
Autumn,Omeprazole,81,Pantoprazole,98,225,515,2016,7,2016-07
Autumn,Losartan,233,Telmisartan,283,425,588,2016,9,2016-09
Winter,Paracetamol,223,Ibuprofen,230,515,171,2010,6,2010-06
Autumn,Metformin,405,Glimepiride,367,270,433,2018,11,2018-11
Spring,Salbutamol,475,Terbutaline,428,843,203,2013,8,2013-08
